Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0ntQJM78wzOLVeCUAW7Y45,"Sex on Fire","Only By The Night","Kings of Leon",2008-09-23,203346,83,false,v828zh1enlyp9vzjlfaj5rzpm,2020-09-29T15:44:34Z,"","RCA/Legacy",0.542,0.905,9,-5.653,1,0.054,0.00172,0.0104,0.136,0.374,153.398,4
spotify:track:3UjtIALeg72qmJiKPWBvM3,"What You Know","Tourist History","Two Door Cinema Club",2010-02-17,191706,2,false,v828zh1enlyp9vzjlfaj5rzpm,2020-09-29T15:44:53Z,"indie,indie rock","Glassnote Entertainment Group LLC",0.561,0.741,6,-4.239,0,0.0419,0.000715,0.000014,0.0822,0.776,139.001,4
spotify:track:0Hrd6CSafHHqKptyFppmqH,"Undercover Martyn","Tourist History","Two Door Cinema Club",2010-02-17,167773,0,false,v828zh1enlyp9vzjlfaj5rzpm,2020-09-29T15:44:59Z,"indie,indie rock","Glassnote Entertainment Group LLC",0.442,0.872,2,-5.072,1,0.123,0.00025,0.0000174,0.0602,0.568,159.867,4
spotify:track:6vECYJHxYmm3Ydt3fF01pE,"Stolen Dance","Sadnecessary","Milky Chance",2014-06-20,313684,4,false,v828zh1enlyp9vzjlfaj5rzpm,2020-09-29T15:46:03Z,"","Neon",0.885,0.581,11,-8.813,1,0.0378,0.427,0.000204,0.0759,0.728,114.016,4
spotify:track:2AYEOC02WLhUiOoaig2SEH,"Out of My League","More Than Just a Dream (Deluxe Edition)","Fitz and The Tantrums",2013-05-07,209386,77,false,v828zh1enlyp9vzjlfaj5rzpm,2020-10-18T18:02:09Z,"","Elektra (NEK)",0.545,0.968,9,-3.553,0,0.0853,0.0387,0.00325,0.331,0.527,169.965,4
spotify:track:0zePbRMJ9sd7wsZRlbPQua,"Hot Rod","Fuzzybrain","Dayglow",2019-11-14,204014,1,false,v828zh1enlyp9vzjlfaj5rzpm,2020-10-18T18:12:47Z,"indie rock","Very Nice Records",0.707,0.767,7,-7.072,1,0.0323,0.0279,0.000295,0.169,0.832,139.985,4
spotify:track:1170VohRSx6GwE6QDCHPPH,"Kilby Girl","When We Were Friends","The Backseat Lovers",2019-01-27,282205,77,false,v828zh1enlyp9vzjlfaj5rzpm,2020-10-21T00:34:01Z,"","The Backseat Lovers",0.329,0.444,1,-9.973,1,0.0417,0.0578,0.0352,0.113,0.225,162.279,4
spotify:track:7J02VXGmyD2OuGPLTnuONu,"Genie (feat. Mayer Hawthorne)","Genie (feat. Mayer Hawthorne)","Busy P,Mayer Hawthorne",2017-06-02,267692,41,false,v828zh1enlyp9vzjlfaj5rzpm,2020-11-07T20:21:25Z,"french house,electroclash,nu disco,retro soul,pop soul","Ed Banger Records",0.662,0.717,11,-5.469,0,0.0448,0.00777,0.000028,0.115,0.446,103.994,4
spotify:track:6szw2Y2ywtth0oc7ODN3Tz,"Run","COIN","COIN",2015-06-05,206466,47,false,v828zh1enlyp9vzjlfaj5rzpm,2020-12-12T15:43:14Z,"","StarTime International/Columbia",0.497,0.882,8,-5.621,1,0.0412,0.00151,0.00000711,0.139,0.922,76.481,4
spotify:track:64lsIF5pw0sJY0gV5kz0RN,"Can I Call You Tonight?","Fuzzybrain","Dayglow",2019-11-14,278769,3,false,v828zh1enlyp9vzjlfaj5rzpm,2020-12-12T15:49:40Z,"indie rock","Very Nice Records",0.641,0.842,9,-7.27,1,0.0292,0.132,0.91,0.419,0.5,129.98,4
spotify:track:3kwgqoBqTwoAH4nT29TYrq,"Nobody's Love","Nobody's Love","Maroon 5",2020-07-24,211253,11,false,v828zh1enlyp9vzjlfaj5rzpm,2020-12-13T16:53:19Z,"pop","222 Records/Interscope Records",0.486,0.567,1,-6.456,1,0.0379,0.31,0,0.0949,0.154,93.68,4
spotify:track:6hIOunhsLUT66KQgZV5dMD,"Swing Lynn","I'm Sure","Harmless",2012-08-14,321438,0,false,v828zh1enlyp9vzjlfaj5rzpm,2021-02-16T21:21:43Z,"","Harmless",0.462,0.945,2,-1.887,1,0.0399,0.0536,0.746,0.11,0.477,165.153,4
spotify:track:169pWCmfvVazzcL4EXFPgL,"You Know It","Only The Lonely","Colony House",2017-01-13,182266,57,false,v828zh1enlyp9vzjlfaj5rzpm,2021-02-17T15:46:33Z,"","Descendant Records/RCA Records",0.404,0.962,3,-2.901,1,0.0978,0.0352,0,0.146,0.572,158.121,4
spotify:track:5naar7XewEOAjOywIp6Jjq,"Remember When","Nothing Happens","Wallows",2019-03-22,155146,71,false,v828zh1enlyp9vzjlfaj5rzpm,2021-02-17T15:48:14Z,"indie","Atlantic Records",0.504,0.708,11,-5.896,0,0.0343,0.00112,0.000424,0.788,0.51,82.009,4
spotify:track:2GiJYvgVaD2HtM8GqD9EgQ,"Electric Love","Dopamine","BØRNS",2015-10-16,218106,79,false,v828zh1enlyp9vzjlfaj5rzpm,2021-02-17T15:50:44Z,"","UMGRI Interscope",0.611,0.797,6,-7.627,0,0.0533,0.00543,0.00137,0.26,0.518,120.041,4
spotify:track:5Az8KU81g2aLBbJN67F2CI,"Mind Over Matter","Mind Over Matter","Young the Giant",2014-01-17,244693,72,false,v828zh1enlyp9vzjlfaj5rzpm,2021-02-17T15:53:45Z,"","Fueled By Ramen",0.466,0.763,0,-4.448,1,0.0318,0.000501,0,0.0973,0.293,154.914,4
,"undefined","undefined","undefined",,,,,v828zh1enlyp9vzjlfaj5rzpm,2021-02-18T05:22:59Z,"","undefined",,,,,,,,,,,,
