Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5cPcd6pLrpDVmKnonjd3EQ,"I Think I Like It","Fix Your Accent","Fake Blood",2018-10-27,335800,61,false,v828zh1enlyp9vzjlfaj5rzpm,2019-09-09T21:56:39Z,"electronica","Blood Music",0.727,0.847,1,-6.021,1,0.217,0.014,0.128,0.144,0.64,128.015,4
spotify:track:4K9xid96G3YmIvQZXN9SXg,"Overthinker","Overthinker","INZO",2018-07-23,268000,1,false,v828zh1enlyp9vzjlfaj5rzpm,2019-10-13T15:37:17Z,"future bass","Lowly Palace LLC",0.472,0.605,8,-4.437,1,0.134,0.0311,0.0308,0.101,0.212,128.375,1
spotify:track:6ZGwj3zGq31QP6vvIjsrhX,"B2U (feat. Ian Everson","B2U (feat. Ian Everson) [Extended Mix]","Boombox Cartel,Ian Everson",2015-06-12,268800,0,false,v828zh1enlyp9vzjlfaj5rzpm,2019-10-13T15:37:25Z,"future bass,edm trap,edm,dubstep","FRNT Music",0.572,0.854,5,-5.34,0,0.0752,0.00745,0.0468,0.0813,0.172,150.014,4
spotify:track:22S5BO6h7JIOjg2Uw88l8e,"How to Love (feat. Sofia Reyes) - Boombox Cartel Remix","How to Love (feat. Sofia Reyes) [Remixes]","Cash Cash,Sofía Reyes,Boombox Cartel",2016-05-27,168200,0,false,v828zh1enlyp9vzjlfaj5rzpm,2019-10-13T15:37:32Z,"edm,latin pop,future bass,edm trap,dubstep","Big Beat Records",0.548,0.895,9,-1.988,0,0.102,0.11,0,0.0816,0.682,150.122,4
spotify:track:6jQPolTBq89z9AHrMrmYpS,"Superhuman","Superhuman","SLANDER,Eric Leva",2017-06-23,268611,53,false,v828zh1enlyp9vzjlfaj5rzpm,2019-10-13T15:42:18Z,"melodic bass,edm,future bass,dubstep","Monstercat",0.569,0.727,7,-6.415,1,0.0437,0.028,0,0.949,0.16,127.908,4
spotify:track:4q9MjlSafAR2M3SAkpFjFs,"Visionaries (feat. Novet)","Visionaries (feat. Novet)","INZO,Novet",2017-11-27,283374,40,false,v828zh1enlyp9vzjlfaj5rzpm,2019-10-13T15:48:13Z,"future bass","INZO",0.659,0.694,8,-3.249,0,0.217,0.0095,0.0000799,0.101,0.401,89.996,4
spotify:track:0q7oMII7kWTj1ZSX6GT6LU,"Crawl Outta Love","Awake","ILLENIUM,Annika Wells",2017-09-21,242011,1,true,v828zh1enlyp9vzjlfaj5rzpm,2019-10-13T15:57:46Z,"melodic bass,future bass,edm","Seeking Blue",0.377,0.723,7,-2.951,1,0.046,0.181,0,0.0815,0.167,84.139,4
spotify:track:6jq6rcOikCZAmjliAgAmfT,"Light","Light","San Holo",2017-02-10,239853,57,false,v828zh1enlyp9vzjlfaj5rzpm,2019-10-13T20:07:45Z,"future bass,edm","Columbia",0.57,0.763,1,-4.137,1,0.0573,0.0857,0.00000249,0.0932,0.43,150.088,4
spotify:track:2fa2P8IrD2lPkOUma2gtPG,"Guilty Love","RINGOS DESERT","ZHU",2018-09-07,273257,45,false,v828zh1enlyp9vzjlfaj5rzpm,2019-10-14T20:31:35Z,"edm","Mind of a Genius",0.79,0.597,4,-6.024,0,0.0522,0.00624,0.457,0.0671,0.379,123.038,4
spotify:track:4y78bEIRTzNe2RbGAnX8zU,"My Life","RINGOS DESERT","ZHU,Tame Impala",2018-09-07,294351,53,false,v828zh1enlyp9vzjlfaj5rzpm,2019-10-14T20:34:54Z,"edm,neo-psychedelic,indie","Mind of a Genius",0.755,0.557,0,-7.985,0,0.0373,0.257,0.0524,0.103,0.21,109.983,4
spotify:track:5LCaw96SsbpHAQFAcbFwbI,"Moon Love","Moon Love","Boombox Cartel,Nessly",2018-03-16,243692,44,false,v828zh1enlyp9vzjlfaj5rzpm,2019-11-01T07:21:41Z,"future bass,edm trap,edm,dubstep","Mad Decent",0.706,0.935,6,-2.418,1,0.0565,0.0168,0.0000462,0.106,0.214,130.001,4
spotify:track:7EL3WuFc1b8L6ncjVqZ1hQ,"TIME - SLUMBERJACK Remix / Alison Wonderland x QUIX","TIME: Remixes (Alison Wonderland x QUIX)","Alison Wonderland,QUIX,SLUMBERJACK",2019-10-31,188800,0,false,v828zh1enlyp9vzjlfaj5rzpm,2019-11-07T00:46:52Z,"edm trap,future bass,edm,dubstep","EMI Recorded Music Australia Pty Ltd",0.507,0.956,4,-3.866,0,0.0777,0.019,0.0527,0.431,0.336,75.048,4
spotify:track:28QlLenBGFRjxMmKONi9x2,"U Don't Know - Vincent Remix","Run (Deluxe Edition - Remixes)","Alison Wonderland,Wayne Coyne,Vincent",2015-10-30,217794,32,false,v828zh1enlyp9vzjlfaj5rzpm,2019-11-12T19:03:07Z,"edm trap,future bass,edm,melodic bass","EMI Recorded Music Australia Pty Ltd",0.414,0.767,2,-4.554,0,0.065,0.00515,0,0.0996,0.21,137.945,4
spotify:track:0K1glOFXQzLm3KxjJY5rtK,"Gemini (feat. George Maple)","Gemini (feat. George Maple)","What So Not,George Maple",2015-04-03,270257,0,false,v828zh1enlyp9vzjlfaj5rzpm,2019-11-17T05:03:41Z,"future bass","OWSLA",0.481,0.687,7,-6.748,0,0.0699,0.238,0.11,0.107,0.188,145.971,4
spotify:track:7h9y8oMm1GtwYNhAPh4OOI,"Formula","Formula","RL Grime,Juelz",2019-11-22,210389,0,false,v828zh1enlyp9vzjlfaj5rzpm,2019-12-03T00:06:03Z,"edm trap,future bass,edm","Sable Valley Records",0.186,0.977,1,-2.888,0,0.393,0.0369,0.576,0.119,0.043,70.21,4
spotify:track:3OaunNUlXXs5e2PXtNAzzG,"UCLA","NOVA","RL Grime,24hrs",2018-07-27,192000,4,true,v828zh1enlyp9vzjlfaj5rzpm,2019-12-03T18:43:20Z,"edm trap,future bass,edm","WeDidIt Records",0.536,0.879,1,-3.019,1,0.0621,0.0742,0,0.0847,0.334,140.137,4
spotify:track:6rzhYFKNiir3oP5AFCGu3k,"Milly Rock","Milly Rock","SwuM",2017-12-07,75043,23,true,v828zh1enlyp9vzjlfaj5rzpm,2019-12-04T10:05:42Z,"lo-fi,lo-fi beats,lo-fi hip hop","SwuM",0.662,0.788,6,-3.896,1,0.292,0.173,0,0.548,0.478,90.012,4
spotify:track:0vK80mtYypq4dAwQelZ2Dh,"Lift Me Up (feat. Carla Monroe)","Lift Me Up (feat. Carla Monroe)","Oliver Heldens,Firebeatz,Schella,Carla Monroe",2019-11-15,177120,42,false,v828zh1enlyp9vzjlfaj5rzpm,2019-12-13T03:41:29Z,"future house,house,big room,electro house,edm,electronica","HELDEEP Records",0.579,0.784,5,-4.686,1,0.0659,0.0426,0.0235,0.317,0.562,125.122,4
spotify:track:0k4A0wcdZLY0OSQ1ugfi3J,"Paris","Paris","Kungs",2019-11-29,201290,47,false,v828zh1enlyp9vzjlfaj5rzpm,2019-12-13T03:45:10Z,"","Good Company",0.579,0.596,10,-10.766,1,0.254,0.00537,0.964,0.273,0.0568,124.005,4
spotify:track:7CHi4DtfK4heMlQaudCuHK,"Lose Control","Lose Control","MEDUZA,Becky Hill,Goodboys",2019-10-11,168387,70,false,v828zh1enlyp9vzjlfaj5rzpm,2019-12-13T03:47:53Z,"","Virgin",0.598,0.527,10,-8.659,0,0.0415,0.129,0,0.14,0.53,123.943,4
spotify:track:4jKSx7uL18SAO4O432BrTp,"I Want It All (feat. Elderbrook)","I Want It All (feat. Elderbrook)","Casper Cole,Elderbrook",2019-11-22,161946,30,false,v828zh1enlyp9vzjlfaj5rzpm,2019-12-13T03:52:03Z,"","FFRR",0.702,0.588,8,-7.052,1,0.0391,0.00798,0.052,0.128,0.442,125.975,4
spotify:track:6B2NRQjtSOtqi67d72r5cx,"American Boy - Brooks Remix","American Boy (Brooks Remix)","Estelle,Kanye West,Brooks",2019-06-14,200624,0,true,v828zh1enlyp9vzjlfaj5rzpm,2019-12-15T01:12:18Z,"rap,future house,edm","Woah Dad!",0.609,0.764,5,-4.564,0,0.111,0.0994,0,0.197,0.531,128.082,4
spotify:track:0CfUpUpO7JNfLqExighSwx,"Take Control","Take Control","Blinkie",2018-11-30,232506,38,false,v828zh1enlyp9vzjlfaj5rzpm,2019-12-15T03:13:50Z,"","2TE Records",0.684,0.909,5,-5.312,0,0.0425,0.109,0.752,0.0607,0.724,123.031,4
spotify:track:0IAIiKWLOobhEPtQtKRtN2,"Tennis Courte - Original","Tennis Courte (Original)","Mazdem",2019-01-27,363991,0,false,v828zh1enlyp9vzjlfaj5rzpm,2019-12-15T04:44:02Z,"","Mazde",0.564,0.567,9,-7.011,0,0.0665,0.374,0,0.375,0.323,92.995,4
spotify:track:0pSL76Z9uhRAfFd09VmF24,"When The Lights Go Down","Carte Blanche","DJ Snake",2019-07-25,231037,38,false,v828zh1enlyp9vzjlfaj5rzpm,2019-12-15T05:05:25Z,"","DJ Snake Music Productions Limited",0.595,0.952,5,-1.892,0,0.042,0.0269,0.671,0.109,0.59,159.996,4
spotify:track:3B1Je3rlEac3p4ikYW13zw,"Define","Define","Dom Dolla,Go Freek",2015-07-24,232129,65,false,v828zh1enlyp9vzjlfaj5rzpm,2019-12-15T05:08:27Z,"house,tech house,future house","Sweat It Out",0.405,0.808,0,-3.867,0,0.0355,0.18,0.000412,0.133,0.32,122.043,4
spotify:track:6FeTled691bl3j2Npf7oo8,"Azukita","Neon Future III","Steve Aoki,Daddy Yankee,Play-N-Skillz,Elvis Crespo",2018-11-09,226161,57,false,v828zh1enlyp9vzjlfaj5rzpm,2019-12-16T20:50:02Z,"electro house,edm,reggaeton,latin,merengue,latin dance,salsa","Ultra Records, LLC",0.715,0.942,8,-2.889,1,0.107,0.00175,0.000461,0.0581,0.818,130.019,4
